property_group_id,property_type,location_area,area,price_million,unit_price_million_m2,bedrooms,bathrooms,floors,latitude,longitude,distance_to_cbd_km,listing_date,has_furniture,car_alley
18255548556880246002,Căn hộ chung cư,Quận 5,219.0,25000.0,114.2,4.0,3.0,,,,,2025-08-01 21:19:00+00:00,0,0
8940881950397067466,Nhà riêng,Quận Bình Tân,68.0,6900.0,101.5,4.0,5.0,3.0,,,,2025-09-24 18:49:00+00:00,0,0
13002976891037874108,Căn hộ chung cư,TP. Thủ Đức,68.0,3600.0,52.9,,,,,,,2025-09-16 20:59:00+00:00,0,0
16306954991569160249,Căn hộ chung cư,Quận 8,68.0,35000.0,514.7,2.0,1.0,,,,,2025-08-01 21:20:00+00:00,0,0
13853623301797033334,Căn hộ chung cư,Quận 7,36.0,2000.0,55.6,,2.0,,,,,2025-08-01 21:23:00+00:00,0,0
4089453339525520090,Nhà riêng,Quận 3,80.0,24000.0,300.0,,,4.0,,,,2025-09-24 18:48:00+00:00,0,0
16805873713828760409,Căn hộ chung cư,Quận 10,61.0,5200.0,85.2,1.0,,,,,,2025-08-31 21:10:00+00:00,0,0
7328437829722609179,Căn hộ chung cư,Quận 7,71.0,48000.0,676.1,2.0,2.0,,,,,2025-08-01 21:20:00+00:00,0,0
1498923868939970251,Nhà riêng,Unknown,70.0,8500.0,121.4,4.0,5.0,4.0,10.794,106.648,6.08,2025-08-31 18:43:00+00:00,0,0
16039206120318707675,Căn hộ chung cư,Huyện Nhà Bè,190.0,4950.0,26.1,4.0,3.0,2.0,,,,2025-05-03 21:29:00+00:00,0,0
12277375306322206626,Nhà riêng,Quận Bình Thạnh,60.0,10590.0,176.5,,,,,,,2025-09-24 18:49:00+00:00,0,0
3928795821436027586,Nhà riêng,Quận Phú Nhuận,64.0,13000.0,203.1,,,2.0,,,,2025-09-26 18:47:00+00:00,0,0
14449575114754844475,Căn hộ chung cư,Huyện Bình Chánh,56.0,3100.0,55.4,2.0,1.0,,,,,2025-09-09 21:01:00+00:00,0,0
10097396821905645804,Căn hộ chung cư,Quận 7,124.0,11500.0,92.7,3.0,,,,,,2025-09-23 20:53:00+00:00,0,0
2686406521962565520,Căn hộ chung cư,Quận 7,124.0,19900.0,160.5,,,,,,,2025-09-16 20:56:00+00:00,0,0
16502687530024419358,Căn hộ chung cư,TP. Thủ Đức,86.0,2400.0,27.9,2.0,2.0,,,,,2025-05-03 21:29:00+00:00,0,0
15291150821411119920,Nhà riêng,Quận Bình Thạnh,86.0,18000.0,209.3,,,,,,,2025-09-24 18:49:00+00:00,0,0
3437026253264581285,Căn hộ chung cư,Quận 7,60.0,3200.0,53.3,2.0,2.0,,,,,2025-09-23 20:52:00+00:00,0,0
2793789407060226766,Căn hộ chung cư,Quận Bình Thạnh,68.0,2550.0,37.5,2.0,,,,,,2025-09-16 20:57:00+00:00,0,0
6543070029427150447,Căn hộ chung cư,TP. Thủ Đức,79.0,4500.0,57.0,2.0,,,,,,2025-08-31 21:12:00+00:00,0,0
3615146656062405068,Căn hộ chung cư,Quận Bình Thạnh,86.0,10800.0,125.6,,,,,,,2025-09-16 20:56:00+00:00,0,0
17463793716872473717,Nhà riêng,Quận 12,55.0,29000.0,527.3,8.0,5.0,4.0,,,,2025-09-24 18:48:00+00:00,0,0
18137216896450165486,Nhà riêng,Quận Tân Bình,67.5,9500.0,140.7,4.0,,4.0,,,,2025-09-16 18:41:00+00:00,0,0
9975307768211541689,Căn hộ chung cư,TP. Thủ Đức,147.0,7900.0,53.7,3.0,2.0,,,,,2025-09-09 20:59:00+00:00,0,0
14140575441005166500,Nhà riêng,Quận Phú Nhuận,40.0,7500.0,187.5,4.0,,4.0,,,,2025-09-16 18:41:00+00:00,0,0
10619481892887938852,Căn hộ chung cư,Quận Gò Vấp,110.0,26500.0,240.9,,,,,,,2025-09-16 20:55:00+00:00,0,0
13018587057398240531,Căn hộ chung cư,Quận Tân Phú,112.0,7220.0,64.5,,,,,,,2025-09-16 20:56:00+00:00,0,0
4292516898468373633,Căn hộ chung cư,Quận Tân Phú,105.0,4000.0,38.1,3.0,2.0,,,,,2025-08-01 21:27:00+00:00,0,0
14042217598553213482,Nhà riêng,Unknown,80.0,4200.0,52.5,3.0,1.0,0.0,10.737,106.64,8.0,2025-08-31 18:44:00+00:00,0,0
5260337924932777535,Căn hộ chung cư,Quận 6,52.0,2700.0,51.9,2.0,,,,,,2025-08-31 21:08:00+00:00,0,0
1692422534104584952,Căn hộ chung cư,Quận Tân Phú,76.0,2800.0,36.8,2.0,2.0,,,,,2025-09-16 20:57:00+00:00,0,0
10171192484646065785,Nhà riêng,TP. Thủ Đức,75.0,14000.0,186.7,,,,,,,2025-09-24 18:49:00+00:00,0,0
9943718252493314512,Căn hộ chung cư,TP. Thủ Đức,82.0,14370.0,175.2,2.0,2.0,,,,,2025-06-02 21:29:00+00:00,0,0
17083108121575584991,Căn hộ chung cư,Quận 8,68.0,2300.0,33.8,2.0,,,,,,2025-09-23 20:53:00+00:00,0,0
17931104299622180335,Căn hộ chung cư,Quận Bình Thạnh,90.0,7900.0,87.8,2.0,2.0,,,,,2025-08-31 21:08:00+00:00,0,0
4479884375727947263,Căn hộ chung cư,Quận Bình Thạnh,160.0,22000.0,137.5,1.0,3.0,,,,,2025-09-09 21:02:00+00:00,0,0
8612626542342645419,Nhà riêng,Quận Tân Phú,63.0,4720.0,74.9,,,,,,,2025-09-24 18:51:00+00:00,0,0
755378544546713375,Căn hộ chung cư,Quận 7,106.0,5900.0,55.7,3.0,2.0,,,,,2025-08-31 21:08:00+00:00,0,0
6308011462764679954,Căn hộ chung cư,Quận 7,248.0,29000.0,116.9,6.0,4.0,,,,,2025-07-02 21:27:00+00:00,0,0
10321480965228940702,Căn hộ chung cư,Quận Bình Thạnh,95.0,41000.0,431.6,3.0,,,,,,2025-08-01 21:25:00+00:00,0,0
13002976891037874108,Căn hộ chung cư,TP. Thủ Đức,65.0,3200.0,49.2,2.0,2.0,,,,,2025-09-16 20:54:00+00:00,0,0
1433345747246790732,Căn hộ chung cư,Huyện Nhà Bè,87.0,1950.0,22.4,3.0,,,,,,2025-09-09 21:01:00+00:00,0,0
13921113548903130505,Nhà riêng,TP. Thủ Đức,76.0,7900.0,103.9,2.0,,1.0,10.789,106.734,3.86,2025-08-31 18:43:00+00:00,0,0
13114976913989250347,Căn hộ chung cư,Quận 7,147.0,13500.0,91.8,4.0,3.0,,,,,2025-09-23 20:53:00+00:00,0,0
17437917474567363644,Căn hộ chung cư,Quận 4,115.0,5200.0,45.2,3.0,,,,,,2025-09-16 20:56:00+00:00,0,0
2145103075985589481,Căn hộ chung cư,Quận Bình Thạnh,68.0,1540.0,22.6,2.0,2.0,,,,,2025-09-23 20:53:00+00:00,0,0
13079072618152216653,Căn hộ chung cư,TP. Thủ Đức,54.0,3310.0,61.3,1.0,,,,,,2025-09-16 20:55:00+00:00,0,0
15208854074670249671,Căn hộ chung cư,Quận Tân Bình,55.0,2900.0,52.7,2.0,1.0,,,,,2025-08-31 21:11:00+00:00,0,0
2349902016264431425,Căn hộ chung cư,Quận 7,58.0,45000.0,775.9,1.0,1.0,,,,,2025-07-02 21:28:00+00:00,0,0
12014997665450027328,Căn hộ chung cư,Quận Bình Thạnh,67.0,1940.0,29.0,2.0,,,,,,2025-09-02 21:04:00+00:00,0,0
10876158427186717458,Căn hộ chung cư,Huyện Bình Chánh,84.0,2900.0,34.5,2.0,2.0,,,,,2025-09-16 20:54:00+00:00,0,0
16987231252314695750,Nhà riêng,Quận Bình Thạnh,105.0,8390.0,79.9,,,,,,,2025-09-24 18:49:00+00:00,0,0
7874765425013272270,Nhà riêng,Unknown,75.0,5200.0,69.3,3.0,4.0,4.0,10.862,106.696,9.48,2025-08-31 18:44:00+00:00,0,0
5826071283365919431,Căn hộ chung cư,Quận Bình Thạnh,146.0,13800.0,94.5,2.0,2.0,,,,,2025-09-16 20:49:00+00:00,0,0
10418115859717537494,Căn hộ chung cư,Quận Phú Nhuận,33.0,2300.0,69.7,,,,,,,2025-08-31 21:06:00+00:00,0,0
6897674685921909666,Căn hộ chung cư,Unknown,90.0,3600.0,40.0,1.0,1.0,,,,,2025-09-16 20:58:00+00:00,0,0
